!Clamp R On && ! Active eCall On && !RST	!Clamp R On && ! Active eCall On && !RST
% Tastverhaeltnis	% duty cycle
% Tastverhältnis	% duty cycle
'Klemme R'-Information ueber K-Bus	'Terminal R' information via K-Bus
(1) links offen	(1) left open
(1+2) links + rechts offen	(1+2) left + right open
(2) rechts offen	(2) right open
(3/2 Wege)Magnetventil Running losses	(3/2-way) solenoid valve Running losses
(F001, F002, F004) + ECE + M-Paket	(F001, F002, F004) + ECE + M package
(F001, F002, F004) + Zylinderzahl<12 + ECE + Std	(F001, F002, F004) + cylinder count<12 + ECE + Std
(F001, F002, F004) + Zylinderzahl=12 + ECE + Std	(F001, F002, F004) + cylinder count=12 + ECE + Std
(F030, F035) + US + Chrom - WSB	(F030, F035) + US + Chrome - WSB
(F030, F035) + US + M-Paket - WSB	(F030, F035) + US + M package - WSB
(F030, F035) + US + Std	(F030, F035) + US + Std
(F030, F035, F031) + ECE + Std + WSB	(F030, F035, F031) + ECE + Std + WSB
(F032, F036) + US + Chrom	(F032, F036) + US + Chrome
(F032, F036) + US + M-Paket - WSB	(F032, F036) + US + M package - WSB
(F032, F036) + US + Std	(F032, F036) + US + Std
(F045, F045CN) + US + ECE + M-Paket + WSB	(F045, F045CN) + US + ECE + M package + WSB
(F045, F045CN) + US + ECE + M-Paket - WSB	(F045, F045CN) + US + ECE + M package - WSB
(Headunit Stufe 1 (Radio Business)) mit Funktion CD-Laufwerk	(Headunit level 1 (Radio Business)) with CD drive function
(LSB) RED	(LSB) RED
(de)aktiviert das Fehlermanagement der Funktion WWA	(de)activates the fault management of function WWA
(de)aktiviert den IP Debug Mode der Funktion WWA	(de)activates the IP debug mode of function WWA
(keine Information gespeichert)	(no information stored)
(nicht belegt)	(not assigned)
(nicht belegt)  - Forecast nächstes Zyklisches Nachladen möglich	(not assigned) - forecast next cyclic recharge possible
(nicht belegt) - Forecast nächstes Zyklisches Nachladen nicht möglich	(not assigned) - forecast next cyclic recharge not possible
(nicht relevant)	(not relevant)
*** Wert ungültig ***	*** value invalid ***
*P0125: Insufficient Coolant Tempurature for Closed Loop Fuel Control	*P0125: Insufficient Coolant Tempurature for Closed Loop Fuel Control
*P0202: Injector Circuit Malfunction - Cylinder 2 (2A)	*P0202: Injector Circuit Malfunction - Cylinder 2 (2A)
*P0205: Injector Circuit Malfunction - Cylinder 5 (5A)	*P0205: Injector Circuit Malfunction - Cylinder 5 (5A)
*P0208: Injector Circuit Malfunction - Cylinder 8 (2B)	*P0208: Injector Circuit Malfunction - Cylinder 8 (2B)
*P0211: Injector Circuit Malfunction - Cylinder 11 (5B)	*P0211: Injector Circuit Malfunction - Cylinder 11 (5B)
*P0411: Secundary Air Injection System Incorrect Flow Detected	*P0411: Secundary Air Injection System Incorrect Flow Detected
*P0502: Vehicle Speed Sensor Circuit Low Input	*P0502: Vehicle Speed Sensor Circuit Low Input
*P0700: Transmission Control System Malfunction	*P0700: Transmission Control System Malfunction
+45°C .. +65°C	+45°C .. +65°C
+5°C .. +45°C	+5°C .. +45°C
+65°C .. +85°C	+65°C .. +85°C
- Auslesen des Auto-P Status. - Aktivieren/Deaktivieren von Auto-P.	- Read out Auto-P status. - Activate/deactivate Auto-P.
- [Bit 5 not used]	- [Bit 5 not used]
- falsche Fehlerart -	- wrong fault type -
-- [Status 11 LS not used]	-- [Status 11 LS not used]
-- [Status 14 LS not used]	-- [Status 14 LS not used]
-- [Status 17 DMTL not used]	-- [Status 17 DMTL not used]
-- [Status 17 LS not used]	-- [Status 17 LS not used]
-- [Status 2 DKAT not used]	-- [Status 2 DKAT not used]
-- [Status 2 LLERH not used]	-- [Status 2 LLERH not used]
-- [Status 2 TEV not used]	-- [Status 2 TEV not used]
-- [Status 2 VVTL not used]	-- [Status 2 VVTL not used]
-- [Status 20 LS not used]	-- [Status 20 LS not used]
-- [Status 23 LS not used]	-- [Status 23 LS not used]
-- [Status 26 DMTL not used]	-- [Status 26 DMTL not used]
-- [Status 29 DMTL not used]	-- [Status 29 DMTL not used]
-- [Status 5 DMTL not  used]	-- [Status 5 DMTL not used]
-- [Status 5 LS not used]	-- [Status 5 LS not used]
-- [Status 8 DMTL not used]	-- [Status 8 DMTL not used]
-- [Status 8 LS not used]	-- [Status 8 LS not used]
--- Bitkombinationen Headunit Stufe 1 (Radio Business) ---	--- Bit combinations Headunit level 1 (Radio Business) ---
--- Bitkombinationen Headunit Stufe 2 (Radio Professional) ---	--- Bit combinations Headunit level 2 (Radio Professional) ---
--- Bitkombinationen Headunit Stufe 3 (Navigation Business) ---	--- Bit combinations Headunit level 3 (Navigation Business) ---
--- Bitkombinationen Headunit Stufe 4 (Navigation Professional) ---	--- Bit combinations Headunit level 4 (Navigation Professional) ---
--- Bitkombinationen RearSeatEntertainment High ---	--- Bit combinations RearSeatEntertainment High ---
--- Bitkombinationen RearSeatEntertainment Mid ---	--- Bit combinations RearSeatEntertainment Mid ---
----- DATA SUCCESSFULLY RECEIVED -----	----- DATA SUCCESSFULLY RECEIVED -----
----- DATA SUCCESSFULLY TRANSMITTED -----	----- DATA SUCCESSFULLY TRANSMITTED -----
----- DATA TRANSMISSION STARTED -----	----- DATA TRANSMISSION STARTED -----
----- ECALL ACTIVE -----	----- ECALL ACTIVE -----
----- ECALL INACTIVE -----	----- ECALL INACTIVE -----
----- PSAP ECALL DATA TRANSMISSION STARTED -----	----- PSAP ECALL DATA TRANSMISSION STARTED -----
----- REMOTE ECALL_ ONLY -----	----- REMOTE ECALL_ ONLY -----
----- START ECALL TRIGGER -----	----- START ECALL TRIGGER -----
----- SWITCH OF POWER SUPPLY -----	----- SWITCH OF POWER SUPPLY -----
----- UPDATE UPGRADE ALTERNATIVE TRIGGER -----	----- UPDATE UPGRADE ALTERNATIVE TRIGGER -----
----- VOICE CALL DIALING -----	----- VOICE CALL DIALING -----
----- VOICE CALL ESTABLISHED -----	----- VOICE CALL ESTABLISHED -----
----- VOICE CALL TERMINATED -----	----- VOICE CALL TERMINATED -----
-15°C .. + 5°C	-15°C .. + 5°C
-40°C .. -15°C	-40°C .. -15°C
-Stillstand nicht erkannt (Signal DVCO_VEH) und kein Fe-Mode [für use-case Diagnose]	-Standstill not detected (signal DVCO_VEH) and no Fe mode [for use-case diagnosis]
0 (0x00) = nicht initialisiert, 1 (0x01) =  Initialisierung in Ordnung, 255 (0xFF) = Initialisierung nicht in Ordnung	0 (0x00) = not initialized, 1 (0x01) = initialization OK, 255 (0xFF) = initialization not OK
0 - 254: gültiger Wertebereich  255 ungültig	0 - 254: valid value range  255 invalid
0 ... AUS	0 ... OFF
0 = Fahrersitz nicht belegt, 1 = Fahrersitz belegt	0 = driver seat not occupied, 1 = driver seat occupied
0 = Fahrertür ist geschlossen, 1 = Fahrertür ist offen	0 = driver door is closed, 1 = driver door is open
0 = Taste nicht berührt, 1 = Taste berührt	0 = button not touched, 1 = button touched
0 = Taste nicht betätigt, 1 = Taste betätigt	0 = button not pressed, 1 = button pressed
0 = Taste nicht betätigt; 1 = Taste betätigt	0 = button not pressed; 1 = button pressed
0 ABBRUCH_GRUNDZUSTAND	0 ABBRUCH_GRUNDZUSTAND
0 Diagnose Anfang	0 Diagnosis start
0 Diagnose nicht aktiv	0 Diagnosis not active
0 Drosselklappe kein Notlauf	0 Throttle no limp-home
0 ES - Motor steht	0 ES - engine stopped
0 FGR passiv	0 Cruise control passive
0 Funktion nicht aktiv	0 Function not active
0 Funktionstest läuft	0 Function test running
0 Motor angehalten	0 Engine stopped
0 Neutral oder Park/Neutral	0 Neutral or Park/Neutral
0 Position Notlauf 1	0 Position limp-home 1
0 Start	0 Start
0 Sterne	0 stars
0 Systemtest SLS nicht aktiv	0 System test EVAP leak detection not active
0 Systemtest Sekundärluft nicht aktiv	0 System test secondary air not active
0 Tankentlüftung nicht aktiv	0 Tank venting not active
0 U/min bis 840 U/min	0 rpm to 840 rpm
0 Volt	0 volt
0 Volt + AL_L + AL_R + BLK_L ein	0 volt + AL_L + AL_R + BLK_L on
0 Volt + AL_L + AL_R + BLK_R ein	0 volt + AL_L + AL_R + BLK_R on
0 Volt + AL_L + AL_R ein	0 volt + AL_L + AL_R on
0 Volt + AL_L + BLK_L ein	0 volt + AL_L + BLK_L on
0 Volt + AL_L + BLK_R ein	0 volt + AL_L + BLK_R on
0 Volt + AL_L ein	0 volt + AL_L on
0 Volt + AL_R + BLK_L ein	0 volt + AL_R + BLK_L on
0 Volt + AL_R + BLK_R ein	0 volt + AL_R + BLK_R on
0 Volt + AL_R ein	0 volt + AL_R on
0 Volt + BLK_L + BLK_R + AL_L + AL_R ein	0 volt + BLK_L + BLK_R + AL_L + AL_R on
0 Volt + BLK_L + BLK_R + AL_L ein	0 volt + BLK_L + BLK_R + AL_L on
0 Volt + BLK_L + BLK_R + AL_R ein	0 volt + BLK_L + BLK_R + AL_R on
0 Volt + BLK_L + BLK_R ein	0 volt + BLK_L + BLK_R on
0 Volt + BLK_L ein	0 volt + BLK_L on
0 Volt + BLK_R ein	0 volt + BLK_R on
0 kein Fehler	0 no fault
0 kein Sporttaster	0 no sport button
0 keine Ruhestromverletzung, keine Standverbraucher aktiv	0 no quiescent current violation, no standing loads active
0 keine Taste gedrückt	0 no button pressed
0 nicht angelaufen	0 not started
0 wrong	0 wrong
0 °C	0 °C
0,5 mm Leck TE-System	0.5 mm leak EVAP system
0-2000 U/min	0-2000 rpm
0/5 plausible Messungen	0/5 plausible measurements
00 Heizung aus	00 Heater off
00 Systemtest TEV Initialisierung	00 System test tank vent valve initialization
00 kein externer Eingriff	00 no external intervention
000 - Signal nicht empfangen (TO oder Busfehler usw.)	000 - signal not received (timeout or bus error etc.)
0000 Fehlerort nicht bedatet	0000 Fault location not programmed
0001 - Kurzschluss UBatt o. Wert zu gross	0001 - Short circuit to battery voltage or value too high
001 - Signal empfangen/ In Codierung akzeptiert (alles i.O.)	001 - signal received/ accepted in coding (all OK)
0010 - Kurzschluss Masse o. Wert zu klein	0010 - Short circuit to ground or value too low
01 Heizung Vorheizphase	01 Heater preheat phase
01 Heizung langsam heraufregeln	01 Heater ramping up slowly
01 Systemtest TEV Schritt 1	01 System test tank vent valve step 1
01 Systemtest läuft	01 System test running
01 Traktionskontrolle	01 Traction control
010 - Signal empfangen/ nicht akzeptiert (Wert nicht in der Autocodierungstabelle gefunden)	010 - signal received/ not accepted (value not found in auto-coding table)
0100 - Leitungsbruch o. Wert fehlt	0100 - Open circuit or value missing
011 - Signal empfangen/ nicht geprüft (alle weiteren Werte, die zwar empfangen aber nicht mehr in der Autocodierungstabelle geprüft wurden)	011 - signal received/ not checked (all further values that were received but no longer checked in the auto-coding table)
02 Heizung langsam herunterregeln	02 Heater ramping down slowly
02 Heizung schnell herunterregelm	02 Heater ramping down quickly
02 Sequentielles Manuelles Getriebe	02 Sequential manual gearbox
02 Systemtest TEV Schritt 2	02 System test tank vent valve step 2
03 Heizung langsam herunterregeln	03 Heater ramping down slowly
03 Heizung schnell herunterregelm	03 Heater ramping down quickly
03 Systemtest TEV Schritt 3	03 System test tank vent valve step 3
03 Systemtest beendet, Messwerte gültig	03 System test finished, measured values valid
04 Getriebesteuerung	04 Transmission control
04 Heizung Regelung aktiv	04 Heater control active
04 Heizung langsam heraufregeln	04 Heater ramping up slowly
04 Systemtest TEV Rampe	04 System test tank vent valve ramp
05 Batteriespannung Schutz	05 Battery voltage protection
05 Systemtest TEV abgeschlossen LOCK_STEP	05 System test tank vent valve completed LOCK_STEP
05 Systemtest abgebrochen, keine Werte	05 System test aborted, no values
06 Systemtest Start nicht möglich	06 System test start not possible
06 Temperatur Schutz	06 Temperature protection
07 Systemtest nicht gestartet	07 System test not started
08 Abstandsregelung	08 Distance control
0: -   1: Fensterheber Beifahrer fährt zu	0: -   1: window lifter passenger closes
0: -   1: Fensterheber Fahrer fährt auf	0: -   1: window lifter driver opens
0: -  1: Fensterheber Fahrer fährt zu	0: -  1: window lifter driver closes
0: Aus  1: Ein	0: Off  1: On
0: Bel. Taster Warnblinkanlage aus  1: Bel. Taster Warnblinkanlage ein	0: Illuminated hazard warning switch off  1: Illuminated hazard warning switch on
0: Beschlagsensor nicht vorhanden / codiert   1: Beschlagsensor vorhanden / codiert	0: Fog sensor not present / coded   1: Fog sensor present / coded
0: CORONA LED nicht vorhanden;  1: CORONA LED vorhanden	0: CORONA LED not present;  1: CORONA LED present
0: DWA entschärfen 1: DWA schärfen	0: alarm system disarm 1: alarm system arm
0: Drehrichtung undefiniert, 1: Drehrichtung vorwärts, 2: Drehrichtung rückwärts	0: rotation direction undefined, 1: rotation direction forward, 2: rotation direction reverse
0: EC-Spiegel nicht vorhanden; 1: EC-Spiegel vorhanden	0: EC mirror not present; 1: EC mirror present
0: Funktion Warnblinken nicht aktiv  1: Funktion Warnblinken aktiv	0: hazard warning function not active  1: hazard warning function active
0: Heckrollo nicht vorhanden  1: Heckrollo über BDC 2: Heckrollo über HKFM	0: rear sunblind not present  1: rear sunblind via BDC 2: rear sunblind via HKFM
0: Kein Beiklappen möglich  1: Beiklappne möglich	0: no folding-in possible  1: folding-in possible
0: Kein LIN-Aussenspiegel  1: LIN-Aussenspiegel	0: no LIN exterior mirror  1: LIN exterior mirror
0: Kein Schiebedach vorhanden 1: Schiebedach vorhanden	0: no sunroof present 1: sunroof present
0: Keine DWA verbaut 1: DWA verbaut	0: no alarm system installed 1: alarm system installed
0: Keine LIN-Sirene verbaut 1: LIN-Sirene verbaut	0: no LIN siren installed 1: LIN siren installed
0: Keine Spiegelheizung  1: Spiegelheizung	0: no mirror heating  1: mirror heating
0: Kompass-Spiegel nicht verbaut  1: Kompass-Spiegel verbaut	0: compass mirror not installed  1: compass mirror installed
0: Kurzhub nicht aktiv 1: Kurzhub aktiv	0: short stroke not active 1: short stroke active
