!Clamp R On && ! Active eCall On && !RST	!Clamp R включен && ! Active eCall включен && !RST
% Tastverhaeltnis	% Скважность
% Tastverhältnis	% Скважность
'Klemme R'-Information ueber K-Bus	Информация 'Клемма R' по K-шине
(1) links offen	(1) слева открыто
(1+2) links + rechts offen	(1+2) слева + справа открыто
(2) rechts offen	(2) справа открыто
(3/2 Wege)Magnetventil Running losses	(3/2-ходовой) электромагнитный клапан Running losses
(F001, F002, F004) + ECE + M-Paket	(F001, F002, F004) + ECE + M-пакет
(F001, F002, F004) + Zylinderzahl<12 + ECE + Std	(F001, F002, F004) + число цилиндров<12 + ECE + станд.
(F001, F002, F004) + Zylinderzahl=12 + ECE + Std	(F001, F002, F004) + число цилиндров=12 + ECE + станд.
(F030, F035) + US + Chrom - WSB	(F030, F035) + US + хром - WSB
(F030, F035) + US + M-Paket - WSB	(F030, F035) + US + M-пакет - WSB
(F030, F035) + US + Std	(F030, F035) + US + станд.
(F030, F035, F031) + ECE + Std + WSB	(F030, F035, F031) + ECE + станд. + WSB
(F032, F036) + US + Chrom	(F032, F036) + US + хром
(F032, F036) + US + M-Paket - WSB	(F032, F036) + US + M-пакет - WSB
(F032, F036) + US + Std	(F032, F036) + US + станд.
(F045, F045CN) + US + ECE + M-Paket + WSB	(F045, F045CN) + US + ECE + M-пакет + WSB
(F045, F045CN) + US + ECE + M-Paket - WSB	(F045, F045CN) + US + ECE + M-пакет - WSB
(Headunit Stufe 1 (Radio Business)) mit Funktion CD-Laufwerk	(Headunit уровень 1 (Radio Business)) с функцией CD-привода
(LSB) RED	(LSB) КРАСНЫЙ
(de)aktiviert das Fehlermanagement der Funktion WWA	(де)активирует управление ошибками функции WWA
(de)aktiviert den IP Debug Mode der Funktion WWA	(де)активирует режим отладки IP функции WWA
(keine Information gespeichert)	(информация не сохранена)
(nicht belegt)	(не занято)
(nicht belegt)  - Forecast nächstes Zyklisches Nachladen möglich	(не занято) - прогноз: следующая циклическая подзарядка возможна
(nicht belegt) - Forecast nächstes Zyklisches Nachladen nicht möglich	(не занято) - прогноз: следующая циклическая подзарядка невозможна
(nicht relevant)	(не актуально)
*** Wert ungültig ***	*** Значение недействительно ***
*P0125: Insufficient Coolant Tempurature for Closed Loop Fuel Control	*P0125: недостаточная температура охлаждающей жидкости для замкнутого контура регулирования топлива
*P0202: Injector Circuit Malfunction - Cylinder 2 (2A)	*P0202: неисправность цепи форсунки - цилиндр 2 (2A)
*P0205: Injector Circuit Malfunction - Cylinder 5 (5A)	*P0205: неисправность цепи форсунки - цилиндр 5 (5A)
*P0208: Injector Circuit Malfunction - Cylinder 8 (2B)	*P0208: неисправность цепи форсунки - цилиндр 8 (2B)
*P0211: Injector Circuit Malfunction - Cylinder 11 (5B)	*P0211: неисправность цепи форсунки - цилиндр 11 (5B)
*P0411: Secundary Air Injection System Incorrect Flow Detected	*P0411: обнаружен неверный расход в системе вторичного воздуха
*P0502: Vehicle Speed Sensor Circuit Low Input	*P0502: низкий сигнал в цепи датчика скорости автомобиля
*P0700: Transmission Control System Malfunction	*P0700: неисправность системы управления коробкой передач
+45°C .. +65°C	+45°C .. +65°C
+5°C .. +45°C	+5°C .. +45°C
+65°C .. +85°C	+65°C .. +85°C
- Auslesen des Auto-P Status. - Aktivieren/Deaktivieren von Auto-P.	- Считывание статуса Auto-P. - Активация/деактивация Auto-P.
- [Bit 5 not used]	- [Bit 5 не используется]
- falsche Fehlerart -	- неверный тип ошибки -
-- [Status 11 LS not used]	-- [Статус 11 LS не используется]
-- [Status 14 LS not used]	-- [Статус 14 LS не используется]
-- [Status 17 DMTL not used]	-- [Статус 17 DMTL не используется]
-- [Status 17 LS not used]	-- [Статус 17 LS не используется]
-- [Status 2 DKAT not used]	-- [Статус 2 DKAT не используется]
-- [Status 2 LLERH not used]	-- [Статус 2 LLERH не используется]
-- [Status 2 TEV not used]	-- [Статус 2 TEV не используется]
-- [Status 2 VVTL not used]	-- [Статус 2 VVTL не используется]
-- [Status 20 LS not used]	-- [Статус 20 LS не используется]
-- [Status 23 LS not used]	-- [Статус 23 LS не используется]
-- [Status 26 DMTL not used]	-- [Статус 26 DMTL не используется]
-- [Status 29 DMTL not used]	-- [Статус 29 DMTL не используется]
-- [Status 5 DMTL not  used]	-- [Статус 5 DMTL не используется]
-- [Status 5 LS not used]	-- [Статус 5 LS не используется]
-- [Status 8 DMTL not used]	-- [Статус 8 DMTL не используется]
-- [Status 8 LS not used]	-- [Статус 8 LS не используется]
--- Bitkombinationen Headunit Stufe 1 (Radio Business) ---	--- Битовые комбинации Headunit уровень 1 (Radio Business) ---
--- Bitkombinationen Headunit Stufe 2 (Radio Professional) ---	--- Битовые комбинации Headunit уровень 2 (Radio Professional) ---
--- Bitkombinationen Headunit Stufe 3 (Navigation Business) ---	--- Битовые комбинации Headunit уровень 3 (Navigation Business) ---
--- Bitkombinationen Headunit Stufe 4 (Navigation Professional) ---	--- Битовые комбинации Headunit уровень 4 (Navigation Professional) ---
--- Bitkombinationen RearSeatEntertainment High ---	--- Битовые комбинации RearSeatEntertainment High ---
--- Bitkombinationen RearSeatEntertainment Mid ---	--- Битовые комбинации RearSeatEntertainment Mid ---
----- DATA SUCCESSFULLY RECEIVED -----	----- ДАННЫЕ УСПЕШНО ПОЛУЧЕНЫ -----
----- DATA SUCCESSFULLY TRANSMITTED -----	----- ДАННЫЕ УСПЕШНО ПЕРЕДАНЫ -----
----- DATA TRANSMISSION STARTED -----	----- ПЕРЕДАЧА ДАННЫХ НАЧАТА -----
----- ECALL ACTIVE -----	----- ECALL АКТИВЕН -----
----- ECALL INACTIVE -----	----- ECALL НЕАКТИВЕН -----
----- PSAP ECALL DATA TRANSMISSION STARTED -----	----- ПЕРЕДАЧА ДАННЫХ PSAP ECALL НАЧАТА -----
----- REMOTE ECALL_ ONLY -----	----- ТОЛЬКО REMOTE ECALL -----
----- START ECALL TRIGGER -----	----- ЗАПУСК ТРИГГЕРА ECALL -----
----- SWITCH OF POWER SUPPLY -----	----- ПЕРЕКЛЮЧЕНИЕ ПИТАНИЯ -----
----- UPDATE UPGRADE ALTERNATIVE TRIGGER -----	----- АЛЬТЕРНАТИВНЫЙ ТРИГГЕР ОБНОВЛЕНИЯ -----
----- VOICE CALL DIALING -----	----- НАБОР ГОЛОСОВОГО ВЫЗОВА -----
----- VOICE CALL ESTABLISHED -----	----- ГОЛОСОВОЙ ВЫЗОВ УСТАНОВЛЕН -----
----- VOICE CALL TERMINATED -----	----- ГОЛОСОВОЙ ВЫЗОВ ЗАВЕРШЁН -----
-15°C .. + 5°C	-15°C .. + 5°C
-40°C .. -15°C	-40°C .. -15°C
-Stillstand nicht erkannt (Signal DVCO_VEH) und kein Fe-Mode [für use-case Diagnose]	-Остановка не распознана (сигнал DVCO_VEH) и нет Fe-режима [для use-case диагностики]
0 (0x00) = nicht initialisiert, 1 (0x01) =  Initialisierung in Ordnung, 255 (0xFF) = Initialisierung nicht in Ordnung	0 (0x00) = не инициализировано, 1 (0x01) = инициализация в порядке, 255 (0xFF) = инициализация не в порядке
0 - 254: gültiger Wertebereich  255 ungültig	0 - 254: допустимый диапазон значений, 255 недействительно
0 ... AUS	0 ... ВЫКЛ
0 = Fahrersitz nicht belegt, 1 = Fahrersitz belegt	0 = сиденье водителя не занято, 1 = сиденье водителя занято
0 = Fahrertür ist geschlossen, 1 = Fahrertür ist offen	0 = дверь водителя закрыта, 1 = дверь водителя открыта
0 = Taste nicht berührt, 1 = Taste berührt	0 = кнопка не затронута, 1 = кнопка затронута
0 = Taste nicht betätigt, 1 = Taste betätigt	0 = кнопка не нажата, 1 = кнопка нажата
0 = Taste nicht betätigt; 1 = Taste betätigt	0 = кнопка не нажата; 1 = кнопка нажата
0 ABBRUCH_GRUNDZUSTAND	0 ABBRUCH_GRUNDZUSTAND
0 Diagnose Anfang	0 начало диагностики
0 Diagnose nicht aktiv	0 диагностика не активна
0 Drosselklappe kein Notlauf	0 дроссельная заслонка без аварийного режима
0 ES - Motor steht	0 ES - двигатель остановлен
0 FGR passiv	0 FGR пассивен
0 Funktion nicht aktiv	0 функция не активна
0 Funktionstest läuft	0 выполняется функциональный тест
0 Motor angehalten	0 двигатель остановлен
0 Neutral oder Park/Neutral	0 нейтраль или Park/Neutral
0 Position Notlauf 1	0 положение аварийный режим 1
0 Start	0 старт
0 Sterne	0 звёзд
0 Systemtest SLS nicht aktiv	0 системный тест SLS не активен
0 Systemtest Sekundärluft nicht aktiv	0 системный тест вторичного воздуха не активен
0 Tankentlüftung nicht aktiv	0 вентиляция бака не активна
0 U/min bis 840 U/min	0 об/мин до 840 об/мин
0 Volt	0 Вольт
0 Volt + AL_L + AL_R + BLK_L ein	0 Вольт + AL_L + AL_R + BLK_L вкл
0 Volt + AL_L + AL_R + BLK_R ein	0 Вольт + AL_L + AL_R + BLK_R вкл
0 Volt + AL_L + AL_R ein	0 Вольт + AL_L + AL_R вкл
0 Volt + AL_L + BLK_L ein	0 Вольт + AL_L + BLK_L вкл
0 Volt + AL_L + BLK_R ein	0 Вольт + AL_L + BLK_R вкл
0 Volt + AL_L ein	0 Вольт + AL_L вкл
0 Volt + AL_R + BLK_L ein	0 Вольт + AL_R + BLK_L вкл
0 Volt + AL_R + BLK_R ein	0 Вольт + AL_R + BLK_R вкл
0 Volt + AL_R ein	0 Вольт + AL_R вкл
0 Volt + BLK_L + BLK_R + AL_L + AL_R ein	0 Вольт + BLK_L + BLK_R + AL_L + AL_R вкл
0 Volt + BLK_L + BLK_R + AL_L ein	0 Вольт + BLK_L + BLK_R + AL_L вкл
0 Volt + BLK_L + BLK_R + AL_R ein	0 Вольт + BLK_L + BLK_R + AL_R вкл
0 Volt + BLK_L + BLK_R ein	0 Вольт + BLK_L + BLK_R вкл
0 Volt + BLK_L ein	0 Вольт + BLK_L вкл
0 Volt + BLK_R ein	0 Вольт + BLK_R вкл
0 kein Fehler	0 нет ошибки
0 kein Sporttaster	0 нет спортивной кнопки
0 keine Ruhestromverletzung, keine Standverbraucher aktiv	0 нет нарушения тока покоя, нет активных потребителей стоянки
0 keine Taste gedrückt	0 кнопка не нажата
0 nicht angelaufen	0 не запустился
0 wrong	0 неверно
0 °C	0 °C
0,5 mm Leck TE-System	0,5 мм утечка в системе TE
0-2000 U/min	0-2000 об/мин
0/5 plausible Messungen	0/5 достоверных измерений
00 Heizung aus	00 нагрев выключен
00 Systemtest TEV Initialisierung	00 системный тест TEV инициализация
00 kein externer Eingriff	00 нет внешнего вмешательства
000 - Signal nicht empfangen (TO oder Busfehler usw.)	000 - сигнал не получен (тайм-аут или ошибка шины и т.д.)
0000 Fehlerort nicht bedatet	0000 место неисправности не задано
0001 - Kurzschluss UBatt o. Wert zu gross	0001 - короткое замыкание на UBatt или значение слишком велико
001 - Signal empfangen/ In Codierung akzeptiert (alles i.O.)	001 - сигнал получен/принят в кодировании (всё в порядке)
0010 - Kurzschluss Masse o. Wert zu klein	0010 - короткое замыкание на массу или значение слишком мало
01 Heizung Vorheizphase	01 нагрев фаза предварительного нагрева
01 Heizung langsam heraufregeln	01 нагрев медленное повышение
01 Systemtest TEV Schritt 1	01 системный тест TEV шаг 1
01 Systemtest läuft	01 выполняется системный тест
01 Traktionskontrolle	01 контроль тяги
010 - Signal empfangen/ nicht akzeptiert (Wert nicht in der Autocodierungstabelle gefunden)	010 - сигнал получен/не принят (значение не найдено в таблице автокодирования)
0100 - Leitungsbruch o. Wert fehlt	0100 - обрыв цепи или значение отсутствует
011 - Signal empfangen/ nicht geprüft (alle weiteren Werte, die zwar empfangen aber nicht mehr in der Autocodierungstabelle geprüft wurden)	011 - сигнал получен/не проверен (все прочие значения, которые получены, но больше не проверялись в таблице автокодирования)
02 Heizung langsam herunterregeln	02 нагрев медленное понижение
02 Heizung schnell herunterregelm	02 нагрев быстрое понижение
02 Sequentielles Manuelles Getriebe	02 секвентальная механическая коробка передач
02 Systemtest TEV Schritt 2	02 системный тест TEV шаг 2
03 Heizung langsam herunterregeln	03 нагрев медленное понижение
03 Heizung schnell herunterregelm	03 нагрев быстрое понижение
03 Systemtest TEV Schritt 3	03 системный тест TEV шаг 3
03 Systemtest beendet, Messwerte gültig	03 системный тест завершён, значения измерений действительны
04 Getriebesteuerung	04 управление коробкой передач
04 Heizung Regelung aktiv	04 нагрев регулирование активно
04 Heizung langsam heraufregeln	04 нагрев медленное повышение
04 Systemtest TEV Rampe	04 системный тест TEV рампа
05 Batteriespannung Schutz	05 защита по напряжению аккумулятора
05 Systemtest TEV abgeschlossen LOCK_STEP	05 системный тест TEV завершён LOCK_STEP
05 Systemtest abgebrochen, keine Werte	05 системный тест прерван, значений нет
06 Systemtest Start nicht möglich	06 запуск системного теста невозможен
06 Temperatur Schutz	06 защита по температуре
07 Systemtest nicht gestartet	07 системный тест не запущен
08 Abstandsregelung	08 регулирование дистанции
0: -   1: Fensterheber Beifahrer fährt zu	0: -   1: стеклоподъёмник пассажира закрывается
0: -   1: Fensterheber Fahrer fährt auf	0: -   1: стеклоподъёмник водителя открывается
0: -  1: Fensterheber Fahrer fährt zu	0: -  1: стеклоподъёмник водителя закрывается
0: Aus  1: Ein	0: Выкл  1: Вкл
0: Bel. Taster Warnblinkanlage aus  1: Bel. Taster Warnblinkanlage ein	0: подсветка кнопки аварийной сигнализации выкл  1: подсветка кнопки аварийной сигнализации вкл
0: Beschlagsensor nicht vorhanden / codiert   1: Beschlagsensor vorhanden / codiert	0: датчик запотевания отсутствует / не закодирован   1: датчик запотевания присутствует / закодирован
0: CORONA LED nicht vorhanden;  1: CORONA LED vorhanden	0: CORONA LED отсутствует;  1: CORONA LED присутствует
0: DWA entschärfen 1: DWA schärfen	0: снять с охраны DWA 1: поставить на охрану DWA
0: Drehrichtung undefiniert, 1: Drehrichtung vorwärts, 2: Drehrichtung rückwärts	0: направление вращения не определено, 1: направление вращения вперёд, 2: направление вращения назад
0: EC-Spiegel nicht vorhanden; 1: EC-Spiegel vorhanden	0: EC-зеркало отсутствует; 1: EC-зеркало присутствует
0: Funktion Warnblinken nicht aktiv  1: Funktion Warnblinken aktiv	0: функция аварийной сигнализации неактивна  1: функция аварийной сигнализации активна
0: Heckrollo nicht vorhanden  1: Heckrollo über BDC 2: Heckrollo über HKFM	0: задняя шторка отсутствует  1: задняя шторка через BDC 2: задняя шторка через HKFM
0: Kein Beiklappen möglich  1: Beiklappne möglich	0: доп. складывание невозможно  1: доп. складывание возможно
0: Kein LIN-Aussenspiegel  1: LIN-Aussenspiegel	0: нет LIN-наружного зеркала  1: LIN-наружное зеркало
0: Kein Schiebedach vorhanden 1: Schiebedach vorhanden	0: люк отсутствует 1: люк присутствует
0: Keine DWA verbaut 1: DWA verbaut	0: DWA не установлена 1: DWA установлена
0: Keine LIN-Sirene verbaut 1: LIN-Sirene verbaut	0: LIN-сирена не установлена 1: LIN-сирена установлена
0: Keine Spiegelheizung  1: Spiegelheizung	0: нет обогрева зеркал  1: обогрев зеркал
0: Kompass-Spiegel nicht verbaut  1: Kompass-Spiegel verbaut	0: зеркало с компасом не установлено  1: зеркало с компасом установлено
0: Kurzhub nicht aktiv 1: Kurzhub aktiv	0: короткий ход неактивен 1: короткий ход активен
0: LED AUS  1: LED EIN	0: LED ВЫКЛ  1: LED ВКЛ
0: LED Fahrlichtkontrolle ausgeschalten; 1: LED Fahrlichtkontrolle eingeschalten	0: LED контроля ходовых огней выключен; 1: LED контроля ходовых огней включен
0: LWS nicht abgeglichen 1: LWS abgeglichen	0: датчик угла поворота руля не откалиброван 1: датчик угла поворота руля откалиброван
0: Lenkstock Blinker axialer Taster Bordcomputer nicht betätigt; 1: Lenkstock Blinker axialer Taster Bordcomputer betätigt	0: осевая кнопка бортового компьютера на подрулевом переключателе поворотов не нажата; 1: осевая кнопка бортового компьютера на подрулевом переключателе поворотов нажата
0: Lenkstock Blinker axialer Taster Fernlichtassistent nicht betätigt; 1: Lenkstock Blinker axialer Taster Fernlichtassistent betätigt	0: осевая кнопка ассистента дальнего света на подрулевом переключателе поворотов не нажата; 1: осевая кнопка ассистента дальнего света на подрулевом переключателе поворотов нажата
0: PIA: Abbiegelicht momentan nicht aktiv 1: PIA: Abbiegelicht momentan aktiv	0: PIA: свет поворота в данный момент неактивен 1: PIA: свет поворота в данный момент активен
0: Rechtslenker  1: Linkslenker	0: правый руль  1: левый руль
0: Regensensor nicht vorhanden / codiert; 1: Regensensor vorhanden / codiert	0: датчик дождя отсутствует / не закодирован; 1: датчик дождя присутствует / закодирован
0: Seitenrollo nicht vorhanden;  1: Seitenrollo vorhanden	0: боковая шторка отсутствует;  1: боковая шторка присутствует
0: Signal Getriebeöltemperatur iO	0: сигнал температуры масла КПП в порядке
0: Signalzustand Abtriebsdrehzahl iO; 1: Dynamischer Ersatzwert (Raddrehzahlen); 2: Statischer Ersatzwert	0: состояние сигнала выходной частоты вращения в порядке; 1: динамическое замещающее значение (частоты вращения колёс); 2: статическое замещающее значение
0: Signalzustand Drosselklappe iO 2: Signalzustand Drosselklappe niO	0: состояние сигнала дроссельной заслонки в порядке 2: состояние сигнала дроссельной заслонки не в порядке
0: Signalzustand Eingangsdrehzahl iO; 2: Turbinendrehzahlsensor Kurzschluss gegen Batterie; 5: Turbinendrehzahlsensor Kurzschluss nach Masse / Unterbrechung	0: состояние сигнала входной частоты вращения в порядке; 2: датчик частоты вращения турбины короткое замыкание на батарею; 5: датчик частоты вращения турбины короткое замыкание на массу / обрыв
0: Signalzustand Motordrehzahl iO 2: Signalzustand Motordrehzahl niO	0: состояние сигнала частоты вращения двигателя в порядке 2: состояние сигнала частоты вращения двигателя не в порядке
0: Sitzheizung nicht vorhanden 1: Sitzheizung vorhanden	0: подогрев сиденья отсутствует 1: подогрев сиденья присутствует
0: Status LED Kindersicherung aus 1: Status LED Kindersicherung ein	0: статус LED детского замка выкл 1: статус LED детского замка вкл
0: Taster Nebelscheinwerfer nicht betätigt; 1: Taster Nebelscheinwerfer betätigt	0: кнопка противотуманных фар не нажата; 1: кнопка противотуманных фар нажата
0: Taster Nebelschlussleuchte nicht betätigt 1: Taster Nebelschlussleuchte betätigt	0: кнопка задней противотуманной фары не нажата 1: кнопка задней противотуманной фары нажата
0: Taster nicht betätigt  1: Taster betätigt	0: кнопка не нажата  1: кнопка нажата
0: Taster nicht betätigt 1: Taster betaetigt	0: кнопка не нажата 1: кнопка нажата
0: Taster nicht betätigt 1: Taster betätigt	0: кнопка не нажата 1: кнопка нажата
0: UGDO nicht vorhanden;  1: UGDO vorhanden	0: UGDO отсутствует;  1: UGDO присутствует
0: Zweite Sitzreihe nicht verriegelt; 1: Zweite Sitzreihe verriegelt	0: второй ряд сидений не заблокирован; 1: второй ряд сидений заблокирован
0: entschärft;	0: снято с охраны;
0: geschlossen  1: offen	0: закрыто  1: открыто
0: geschlossen oder halb offen 1: komplett offen	0: закрыто или наполовину открыто 1: полностью открыто
0: halb oder komplett offen  1: komplett geschlossen	0: наполовину или полностью открыто  1: полностью закрыто
0: nicht aktiv 1: aktiv	0: неактивно 1: активно
0: nicht eingelernt 1: eingelernt Info: Wird zu Beginn des Einlernvorgangs auf 0 gesetzt	0: не обучено 1: обучено. Инфо: устанавливается в 0 в начале процесса обучения
0: unbekannt	0: неизвестно
0= Leselicht hinten nicht vorhanden, 1= Leselicht hinten vorhanden	0= заднее освещение для чтения отсутствует, 1= заднее освещение для чтения присутствует
0= Leselicht vorn nicht vorhanden, 1= Leselicht vorne vorhanden	0= переднее освещение для чтения отсутствует, 1= переднее освещение для чтения присутствует
0= Taster Hupe nicht betätigt  1= Taster Hupe betätigt	0= кнопка сигнала не нажата  1= кнопка сигнала нажата
0=Crash nicht erkannt, 1=Crash erkannt	0=авария не распознана, 1=авария распознана
0=Fondschichtungspotentiometer nicht vorhanden 1=Fondschichtungspotentiometer vorhanden	0=потенциометр расслоения воздуха задних сидений отсутствует 1=потенциометр расслоения воздуха задних сидений присутствует
0=Taste nicht betätigt, 1=Taste betätigt	0=кнопка не нажата, 1=кнопка нажата
0=nicht vorhanden 1=vorhanden	0=отсутствует 1=присутствует
0M64J (nicht-eindeutige Detektionsmethode)	0M64J (неоднозначный метод обнаружения)
0b1: Wenn das DAB-Audiosignal verfügbar ist 0B0: Wenn das DAB-Audiosignal nicht verfügbar ist	0b1: если DAB-аудиосигнал доступен 0B0: если DAB-аудиосигнал недоступен
0x00 - Alle Anforderungen zurücknehmen	0x00 - отменить все запросы
0x00 - Alle Daten sind gelöscht und Zugriff freigegeben	0x00 - все данные удалены и доступ разблокирован
0x00 - Alle Schlüssel wurden fehlerfrei generiert	0x00 - все ключи сгенерированы без ошибок
0x00 - Kein Fehler	0x00 - нет ошибки
0x00 - Kein RFID TAG erkannt	0x00 - RFID-метка не обнаружена
0x00 - Keine AD-Karte Vorhanden	0x00 - AD-карта отсутствует
0x00 - gelöscht	0x00 - удалено
0x00 = Alle Anforderungen zurücknehmen	0x00 = отменить все запросы
0x00 = Alle Schlüssel auslesen	0x00 = считать все ключи
0x00 = Alle Schlüssel wurden fehlerfrei generiert	0x00 = все ключи сгенерированы без ошибок
0x00 = EWS im ZSG ist nicht freigegeben	0x00 = EWS в ZSG не разблокирован
0x00 = Gelöscht, keine neuen Schlüssel generiert (seit PowerON)	0x00 = удалено, новые ключи не сгенерированы (с момента PowerON)
0x00 = Kein Fehler	0x00 = нет ошибки
0x00 = Kein RFID TAG erkannt	0x00 = RFID-метка не обнаружена
0x00 = Keine AD-Karte Vorhanden	0x00 = AD-карта отсутствует
0x00 = VK ist gelöscht	0x00 = VK удалён
0x00 Mittelstellung, 0x05 D, 0x06 N, 0x07 R	0x00 среднее положение, 0x05 D, 0x06 N, 0x07 R
0x00: GB is OFF (PWR_EN2 = FALSE) 0x01: GB is ON (PWR_EN2 = TRUE)	0x00: GB выключен (PWR_EN2 = FALSE) 0x01: GB включен (PWR_EN2 = TRUE)
0x00: Gestikkamera nicht vorhanden 0x01: Gestikkamera vorhanden	0x00: камера жестов отсутствует 0x01: камера жестов присутствует
0x00: Kein SHD-Taster vorhanden 0x01: SHD-Taster vorhanden	0x00: кнопка люка отсутствует 0x01: кнопка люка присутствует
0x00: elektrischer Schiebehimmel nicht vorhanden 0x01: elektrischer Schiebehimmel vorhanden	0x00: электрическая шторка люка отсутствует 0x01: электрическая шторка люка присутствует
0x00: kein Fehler, 0x08 Hängenbleiber, 0x20  Minimal Threshold, 0x40 Maximal Threshold, 0x80 Temperatursprung	0x00: нет ошибки, 0x08 зависание, 0x20 минимальный порог, 0x40 максимальный порог, 0x80 скачок температуры
0x00: nicht aktiv 0x01: aktiv	0x00: неактивно 0x01: активно
0x00: transparent 0x01: verdunkelt	0x00: прозрачно 0x01: затемнено
0x01 - AD Karte ist unbekannt	0x01 - AD-карта неизвестна
0x01 - Entsperrung EEPROM fehlgeschlagen	0x01 - разблокировка EEPROM не удалась
0x01 - Generierung EncCSMC_symm	0x01 - генерация EncCSMC_symm
0x01 - SecLib_verifySignature	0x01 - SecLib_verifySignature
0x01 - Ungültiger Parameter cryptoDevice	0x01 - недопустимый параметр cryptoDevice
0x01 - ZV entriegeln	0x01 - разблокировать ЦЗ
0x01 - ungültig - Inkonsistenz zwischen pub / priv	0x01 - недействительно - несоответствие между pub / priv
0x01 = AD Karte ist unbekannt	0x01 = AD-карта неизвестна
0x01 = EEPROM und Schlüsselgenerierung nicht gesperrt	0x01 = EEPROM и генерация ключей не заблокированы
